#results for MallocBenchmark02:
#information in columns:
#mem size: size of allocated memory
#threadCount: count of threads in test
#freePercentage: ammount of deallocations after a 100 allocations
#maxLength: maximum length of random sized string
#time : count of processor cycles requred for benchmark run
#freeCount: count of free blocks at the end of benchmark
#freeCount<160 : count of free blocks at the end of benchmark smaller that 160B
#chunkCount: count of memory chunks
#freeSize: size of memory in free blocks
#overhead: internal fragmentation + header and footer sizes
#

#############, resize enabled, 14.2.2009 build (rev 729) using YieldingSpinLock in test###################
###table size 1999 ####
#############default####################

#1mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
2				2048		75				1			61916532		842			557				1			358356		149292
2				2048		75				1			61423189		817			531				1			367936		147189

2				2048		75				60			94223190		1115		534				1			2450500		154698
2				2048		75				60			85312005		1034		529				1			2444564		154909

#4mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
4				2048		75				1			136007785		1552		1053			1			739868		297830
4				2048		75				1			139340464		1552		1031			1			721576		300133

4				2048		75				60			318276302		2058		1213			1			1262616		306548
4				2048		75				60			235721378		2093		1395			1			723632		313501


#8mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
8				2048		75				1			390393516		2955		1899			1			443280		594770
8				2048		75				1			388803302		2960		1999			1			455472		591229

8				2048		75				60			1546692524		4056		2658			1			1473796		613631
8				2048		75				60			1281802981		4041		2610			1			1453900		621703



###bestfit
#2mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
2				2048		75				1			70737888		496			381				1			371584		146879
2				2048		75				1			69079379		511			388				1			374648		145114

2				2048		75				60			126311025		683			206				1			1933492		147834
2				2048		75				60			121633006		646			238				1			1949980		145307

#4mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
4				2048		75				1			173620810		923			782				1			228404		294788
4				2048		75				1			170377998		868			728				1			227276		291776

4				2048		75				60			289562022		851			594				1			751064		289991
#4				2048		75				60			376895619		922			572				1			1281556		288493
4				2048		75				60			296536394		854			540				1			1278416		289060


#8mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
8				2048		75				1			503854621		1473		1314			1			439680		580169
8				2048		75				1			507361388		1632		1426			1			446512		581472

8				2048		75				60			1789978908		1386		978				1			1496744		574526
8				2048		75				60			1312202764		1572		1095			1			984140		571436



###worstfit
#2mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
2				2048		75				1			58055083		1119		219				1			1420548		149905
2				2048		75				1			62447680		1120		237				1			1419732		149960

2				2048		75				60			102049141		1467		253				1			2970652		157049
2				2048		75				60			112090468		1400		253				1			2959308		156971

#4mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
4				2048		75				1			156379883		2525		622				1			2804116		311415
4				2048		75				1			156322541		2516		598				1			2809236		312593

4				2048		75				60			289896876		3223		815				1			3327624		326768
4				2048		75				60			361916264		3199		809				1			3341460		324636


#8mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
8				2048		75				1			471984854		4574		975				1			4618640		609725
8				2048		75				1			495241791		4706		1060			1			4606100		617440

8				2048		75				60			1807434230		5805		1406			1			5651440		637710
8				2048		75				60			2220056962		5685		1351			1			5652880		633294




























































































